,HTR2A,G9
mgluR5 Antagonists,NCGC00015682-02,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,STAT3,G9
STAT-3 Inhibitor,NCGC00015735-12,PDE10A,G9
Phosphodiesterase X (PDE10) inhibitor,NCGC00015810-13,,G9
anti-arrythmia drug,NCGC00015819-11,,G9
ICAM1 Expression Inhibitors,NCGC00015840-09,DRD2,G9
Dopamine D2 Antagonist,NCGC00015856-08,DRD2,G9
Dopamine D2 Antagonist,NCGC00015883-08,,G9
Alkaloid anitpsychotic,NCGC00015888-04,PDE4A,G9
cAMP Phosphodiesterase Inhibitors,NCGC00016023-17,PTP4A1,G9
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,,G9
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00017324-08,,G9
Antifungal Agent,NCGC00017338-05,NDUFAF1,G9
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,HTR1A,G9
Sodium channel inhibitor,NCGC00018204-11,,G9
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,CYP19A1,G9
Aromatase Inhibitor,NCGC00018294-06,NR1I3,G9
Adenosine Deaminase Inhibitor,NCGC00022567-08,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00023509-14,,G9
Antineoplastic Antibiotics,NCGC00024246-13,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00024415-39,CYP19A1,G9
Mek 1/2 inhibitor,NCGC00025029-05,TACR2,G9
Raf Kinase Inhibitors,NCGC00025109-01,PAR1,G9
Leukotriene A4 Hydrolase Inhibitor,NCGC00025323-01,TBXA2R,G9
p38 MAPK Inhibitor,NCGC00025329-02,PRKDC,G9
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,,G9
HIV Protease Inhibitors,NCGC00090782-07,,G9
Macrolide Antibiotic,NCGC00090808-03,,G9
RARgamma Agonist,NCGC00092284-03,CDC25,G9
Cell Division Cycle CDC25 Phosphatase Inhibitor,NCGC00092289-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00092290-03,AKT1,G9
PKB/Akt Inhibitor,NCGC00092314-04,GRM1,G9
mgluR1 Antagonists,NCGC00092375-02,ADK,G9
immunosuppressant,NCGC00093704-11,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00093976-06,AKR1C1,G9
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,WNT1,G9
Anticoccidial/Antibacterial,NCGC00095055-03,PDE5A,G9
GABAA Receptor Modulator,NCGC00095694-05,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,,G9
HIV Protease Inhibitors,NCGC00159461-03,HTR2A,G9
Calmodulin Antagonist,NCGC00159544-02,HMGCR,G9
ORL1 (OP4_:_ NOP) Antagonists,NCGC00161418-02,PSMD1,G9
Proteasome Inhibitor,NCGC00161679-01,AKT1,G9
p38 MAPK Inhibitor,NCGC00162142-03,ADH1A,G9
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,HDAC1,G9
HDAC1 Inhibitor,NCGC00162453-10,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,HSP90AB1,G9
Smo Receptor Antagonist,NCGC00163474-05,,G9
Antineoplastic Antibiotics,NCGC00163548-02,,G9
HIV Protease Inhibitors,NCGC00164576-03,,G9
antimalarial agents,NCGC00164600-03,HMGCR,G9
HMG-CoA Reductase Inhibitors,NCGC00164604-03,FLT1,G9
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00165721-02,ACE,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00165740-04,PPARA,G9
PPARalpha Antagonist,NCGC00165799-02,IKBKB,G9
TGF-bR1 (ALK5) inhibitor,NCGC00165869-03,SIGMAR1,G9
sigma1/2 Receptor Agonist,NCGC00165875-03,ADORA3,G9
Adenosine A3 Antagonists,NCGC00165880-04,,G9
TGF-bR1 (ALK5) Inhibitor,NCGC00165898-02,MET,G9
HGFR (MET; c-Met) Inhibitor,NCGC00165902-02,RASAL1,G9
Dual RASGAP/Erk inhibitor,NCGC00167403-03,,G9
antimalarial agents,NCGC00167490-02,,G9
antimalarial agents,NCGC00167496-02,,G9
Macrolide Antibiotic,NCGC00167506-03,EGFR,G9
IKK1_:_ IKK-2_:_ IKK complex inhibitor,NCGC00167767-03,CASP3,G9
Procaspase 3 Activator,NCGC00167785-02,ADRB1,G9
beta1-Adrenoceptor Antagonists,NCGC00167832-04,,G9
PI3K inhibitor,NCGC00168114-03,,G9
HIV Protease Inhibitors,NCGC00168773-01,,G9
K+/ATP Signaling Inhibitor,NCGC00173359-06,ACE,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,,G9
Polyether Antibiotic,NCGC00179454-04,,G9
VEGFR-1_:_2_:_3 Inhibitor,NCGC00181350-02,COMT,G9
catechol-O-methyltransferase (COMT),NCGC00181767-01,HTR1B,G9
5-HT1B Agonist,NCGC00181786-03,SYK,G9
Syk Kinase inhibitor,NCGC00182051-02,,G9
EGFR (HER1; erbB1) inhibitor,NCGC00182713-01,NAMPT,G9
NMPRTase Inhibitor,NCGC00182868-02,,G9
Tetracycline Antibiotic,NCGC00183044-01,,G9
HIV Protease Inhibitors,NCGC00183130-01,,G9
Calcium Channel Blocker,NCGC00183837-01,ADRB1,G9
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00185850-02,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G9
AMPA Antagonist,NCGC00186046-02,NFKB1,G9
mTOR inhibitor,NCGC00187481-04,BTK,G9
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BCL2L1,G9
Bcl-xL inhibitor,NCGC00188344-05,MTOR,G9
mTOR Inhibitor,NCGC00188346-01,ITK,G9
ITK inhibitor,NCGC00188382-04,ADRA1A,G9
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,DRD2,G9
Dopamine D2 Antagonist,NCGC00188864-01,CERS1,G9
MEK inhibitor,NCGC00189074-01,MAP2K1,G9
MEK inhibitor,NCGC00189075-01,BLM,G9
BLM inhibitor,NCGC00189393-03,ITK,G9
ITK inhibitor,NCGC00229512-04,PRKCA,G9
PKCa_:_ PKCb_:_ PKCg inhbitor,NCGC00238452-02,JARID2,G9
EGFR (HER1; erbB1) inhibitor,NCGC00241101-02,PRKCA,G9
p38 MAPK Inhibitor,NCGC00241112-01,IRAK1,G9
IRAK Inhibitor,NCGC00241410-01,ROCK1,G9
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,CHEK1,G9
Chk1/2 Inhibitor,NCGC00242481-02,SRC,G9
cSRC inhibitor,NCGC00242490-02,,G9
Glucocorticoid Receptor (GR) Agonist,NCGC00242505-01,PSMD1,G9
Proteasome Inhibitor,NCGC00242506-02,BIRC5,G9
TGF-bR1 (ALK5) and TGFbR2 inhibitor,NCGC00242598-03,JAK1,G9
Jak/Tyk/Flt inhibitor,NCGC00244256-02,,G9
antiinfluenza drug,NCGC00246387-02,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247879-01,JAK2,G9
Raf kinase B/C inhibitor,NCGC00249391-01,FLT1,G9
VEGFR-2 inhibitor,NCGC00249393-01,PSMD1,G9
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G9
IGF-1R Inhibitors,NCGC00250375-02,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,BRAF,G9
Tropomyosin Related Kinases (Trk) inhibitor,NCGC00250381-02,SMO,G9
Smo Receptor Antagonist,NCGC00250382-01,IKBKE,G9
IKK-epsilon Inhibitor,NCGC00250386-02,PRKDC,G9
Histone Deacetylase (HDAC) 6 Inhibitor,NCGC00250390-01,PDK2,G9
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,MTOR,G9
HGFR (MET; c-Met) Inhibitor,NCGC00250400-01,CDK1,G9
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,MTOR,G9
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,BRD4,G9
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00250412-01,BCL2L1,G9
Bcl-xL inhibitor,NCGC00253562-02,,G9
Antifungal Agent,NCGC00253713-02,SYK,G9
PI3Kalpha inhibitor,NCGC00262604-01,JAK2,G9
Jak2 inhibitor,NCGC00262608-02,TLR4,G9
TLR4 (LPS) inhibitor,NCGC00263015-01,TRPV4,G9
TRPV4 Antagonist,NCGC00263016-01,SMO,G9
Smoothened (Smo) receptor agonist,NCGC00263084-02,RPS6KA1,G9
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,PIK3CA,G9
PI3K/PDK1 Inhibitor,NCGC00263088-01,IL2,G9
IL-12 Production Inhibitor,NCGC00263093-01,ATM,G9
ATM Kinase Inhibitor,NCGC00263099-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00263101-01,KDR,G9
VEGFR-2 Inhibitor,NCGC00263104-01,PAR2,G9
PAR2 Antagonist,NCGC00263107-01,PAR1,G9
mTOR inhibitor,NCGC00263109-02,TACR3,G9
Glycine Transporter 1 (GlyT-1) Inhibitor,NCGC00263114-01,AR,G9
Androgen Receptor Antagonist,NCGC00263120-01,SIGMAR1,G9
sigma1 Receptor Agonist,NCGC00263126-01,RPS6KB1,G9
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,ADORA1,G9
Adenosine A1 Antagonist,NCGC00263139-01,AKT1,G9
Akt1/PKA Inhibitor,NCGC00263147-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,,G9
FGFR Inhibitor,NCGC00263152-02,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,PDGFRA,G9
VEGFR-2 Inhibitor,NCGC00263164-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00263165-01,BCL2L1,G9
Tubulin polymerization inhibitor,NCGC00263169-01,SMO,G9
Aurora-A Inhibitor,NCGC00263178-01,MAP2K1,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263185-01,PIM1,G9
Pim-1/Flt3 Inhibitor,NCGC00263186-02,MAP2K1,G9
VEGFR-1/2/3 Inhibitor,NCGC00263198-01,TEK,G9
Tie-2 inhibitor,NCGC00263199-02,MET,G9
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,LCK,G9
Lck Kinase Inhibitors,NCGC00263206-02,SMO,G9
Smoothened (Smo) Receptor Antagonist,NCGC00263210-01,TRPV4,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00263219-01,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,IDO1,G9
Fatty acid synthase inhibitor,NCGC00263229-01,,G9
artemesinin analogue,NCGC00263265-01,,G9
artemesinin analogue,NCGC00263268-01,,G9
artemesinin analogue,NCGC00263270-01,FAS,G9
FAS inhibitor,NCGC00263281-01,USP10,G9
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,,G9
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00263621-02,TOP2A,G9
Calcium Channel Blocker,NCGC00344506-01,,G9
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00344588-01,,G9
DOT1L Inhibitor,NCGC00344622-02,PSMD1,G9
Proteasome Inhibitor,NCGC00344630-01,ITK,G9
ITK inhibitor,NCGC00344990-01,PDE4A,G9
Phosphodiesterase IIII D (PDE4D) inhibitor,NCGC00345018-01,,G9
lineage-specific differentiation enhancer,NCGC00345082-01,,G9
lineage-specific differentiation enhancer,NCGC00345083-01,JAK2,G9
Jak2 inhibitor,NCGC00345461-02,HDAC1,G9
HDAC Inhibitor,NCGC00345539-02,IKBKB,G9
IKK Inhibitor,NCGC00345782-01,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00345792-01,MET,G9
PKB/Akt Inhibitor,NCGC00345795-01,PSMD1,G9
Proteasome Inhibitor,NCGC00345799-01,IMPDH1,G9
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,CDK1,G9
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,STAT3,G9
p38 MAPK Inhibitor,NCGC00345832-01,MAPK14,G9
PI3K Inhibitor,NCGC00345838-01,AKT1,G9
AKT Inhibitor,NCGC00345840-01,JAK2,G9
Jak2 inhibitor,NCGC00345845-01,JAK2,G9
PI3K Inhibitor,NCGC00345849-01,MAPK8,G9
PI3K Inhibitor,NCGC00345851-01,CDK1,G9
BTK Inhibitor,NCGC00345857-01,FLT1,G9
VEGFR-2 (FLK-1/KDR) Inhibitors,NCGC00345858-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,SPHK2,G9
PI3Kalpha inhibitor,NCGC00346447-01,AKT1,G9
PKB/Akt Inhibitor,NCGC00346450-01,MAP2K1,G9
FGFR Inhibitor,NCGC00346459-01,PSMD1,G9
Proteasome Inhibitor,NCGC00346469-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346484-01,IGFR1,G9
IGF-1R Inhibitor,NCGC00346485-01,HDAC1,G9
HDAC Inhibitor,NCGC00346486-01,HDAC1,G9
HDAC1 Inhibitor,NCGC00346487-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346508-01,PIK3CA,G9
PI3Kalpha inhibitor,NCGC00346509-01,,G9
Bcr-Abl Kinase Inhibitor,NCGC00346514-01,,G9
Macrolide Antibiotic,NCGC00346523-01,,G9
Aurora A Inhibitor,NCGC00346525-01,MAP2K1,G9
ATP synthase inhibitor,NCGC00346531-01,,G9
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00346535-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346536-01,MAPK14,G9
mTORC1/2 inhibitor,NCGC00346541-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346542-01,MAP2K1,G9
DNA Topoisomerase II Inhibitors,NCGC00346563-01,MAP2K1,G9
EGFR (HER1; erbB1) inhibitor,NCGC00346578-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00346582-01,,G9
antimalarial agents,NCGC00346590-01,,G9
5-HT Release Inhibitor,NCGC00346591-01,PDE5A,G9
Phosphodiesterase V (PDE5) inhibitor,NCGC00346592-01,PDE4A,G9
PKB/Akt Inhibitor,NCGC00346621-01,SYK,G9
Glucokinase activator,NCGC00346628-01,PDE10A,G9
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346640-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346643-01,SRC,G9
PI3K Inhibitor,NCGC00346649-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346652-01,MTOR,G9
mTORC1/2 inhibitor,NCGC00346654-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00346656-01,PDGFRB,G9
PI3K Inhibitor,NCGC00346659-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,AURKA,G9
Aurora-A/B/C Kinase Inhibitor,NCGC00346676-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346681-01,PIKFYVE,G9
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346692-01,MTOR,G9
mTORC1/2 inhibitor,NCGC00346698-01,,G9
photosensitizer,NCGC00346712-01,BRAF,G9
PI3K alpha Inhibitor,NCGC00346717-01,PDGFRB,G9
beta-Secretase Inhibitor,NCGC00346719-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00346735-01,KCNQ1,G9
Prostanoid TP Agonist,NCGC00346741-01,HDAC1,G9
Leucine-Rich Repeat Kinase 2 (LRRK2) Inhibitors,NCGC00346807-01,CDK1,G9
CDK1/2/4/6,NCGC00346827-01,PTK2,G9
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,LCK,G9
Pim 1/2/3 Kinase Inhibitor,NCGC00346935-01,,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00346948-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G9
Lck Kinase Inhibitors,NCGC00346959-01,DDR1,G9
discoidin domain receptor tyrosine kinase (DDR1),NCGC00346961-01,CSF1R,G9
Receptor-interacting serine/threonine-protein kinase 1 (RIPK1),NCGC00346966-01,SPHK1,G9
p97 ATPase Inhibitor,NCGC00347064-01,,G9
p97 ATPase Inhibitor,NCGC00347066-01,DDR1,G9
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,AKT1,G9
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,,G9
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,P2RX3,G9
P2X3/P2X2 Receptor Antagonist,NCGC00347903-01,P2RX7,G9
TGF-b Inhibitor,NCGC00347947-01,,G9
Oct4 Activator,NCGC00347953-01,SHH,G9
Hedgehog agonist,NCGC00347954-01,NR1D1,G9
Rev-erb alpha agonist,NCGC00347956-01,,G9
